 appears 95 times.
prepare appears 3 times.
guarde appears 1 times.
half appears 4 times.
spoke appears 3 times.
hamlet appears 400 times.
docto appears 1 times.
affrighte appears 1 times.
hall appears 2 times.
successio appears 1 times.
lion's appears 1 times.
wreck appears 1 times.
drunk appears 1 times.
would appears 74 times.
tel appears 3 times.
warrant appears 4 times.
towar appears 1 times.
ten appears 8 times.
pray'st appears 1 times.
devoutly appears 1 times.
additio appears 2 times.
blasts appears 1 times.
[advancing] appears 1 times.
solid appears 1 times.
tes appears 1 times.
conjunctive appears 1 times.
& appears 5 times.
meats appears 1 times.
' appears 5 times.
tyrannous appears 1 times.
'no appears 1 times.
competent appears 1 times.
yourselves appears 1 times.
forestalled appears 1 times.
fortune's appears 5 times.
lonelines appears 1 times.
hearer appears 1 times.
willow appears 1 times.
southerly appears 1 times.
childre appears 2 times.
size appears 1 times.
left appears 2 times.
reserved appears 1 times.
tempes appears 1 times.
blaste appears 1 times.
eleven appears 1 times.
statute appears 1 times.
object appears 1 times.
hang appears 3 times.
behavio appears 1 times.
vengeance appears 1 times.
throa appears 2 times.
cliff appears 1 times.
infinite appears 4 times.
pronounc appears 1 times.
turn appears 5 times.
cel appears 1 times.
turk appears 1 times.
thron appears 1 times.
violets appears 1 times.
minds appears 1 times.
opposition appears 2 times.
law's appears 1 times.
flie appears 1 times.
same appears 10 times.
commission appears 2 times.
topp'd appears 1 times.
quiet appears 4 times.
after appears 11 times.
[ appears 1 times.
gleane appears 1 times.
] appears 1 times.
melanchol appears 1 times.
hand appears 18 times.
policy appears 1 times.
reigns appears 1 times.
a appears 575 times.
b appears 20 times.
spong appears 3 times.
salt appears 2 times.
address appears 1 times.
c appears 3 times.
garland appears 1 times.
d appears 20 times.
tatter appears 1 times.
rabble appears 1 times.
g appears 23 times.
h appears 32 times.
i appears 646 times.
cataplasm appears 1 times.
weeping appears 1 times.
l appears 4 times.
tha appears 43 times.
m appears 92 times.
blood appears 11 times.
n appears 34 times.
o appears 72 times.
the appears 1222 times.
straight appears 1 times.
unimproved appears 1 times.
eternit appears 1 times.
halt appears 1 times.
s appears 49 times.
thi appears 42 times.
t appears 6 times.
u appears 34 times.
throw appears 4 times.
v appears 2 times.
w appears 3 times.
norway appears 3 times.
thank appears 17 times.
y appears 2 times.
tho appears 6 times.
poniard appears 1 times.
imag appears 1 times.
brevity appears 1 times.
philosoph appears 1 times.
razed appears 1 times.
garde appears 1 times.
thu appears 11 times.
laertes-- appears 1 times.
violent appears 4 times.
thy appears 87 times.
resolve appears 1 times.
thrif appears 3 times.
confront appears 1 times.
happ appears 1 times.
tuto appears 1 times.
advic appears 3 times.
stewar appears 1 times.
good appears 97 times.
distrus appears 1 times.
faithful appears 2 times.
match' appears 1 times.
empty appears 1 times.
violenc appears 3 times.
otherwise?-- appears 1 times.
ambitio appears 1 times.
suffered appears 1 times.
tax'd appears 1 times.
tim appears 15 times.
serious appears 1 times.
laugh appears 4 times.
fictio appears 1 times.
others appears 5 times.
sparro appears 1 times.
lordshi appears 4 times.
tis appears 2 times.
making appears 3 times.
fantasy appears 1 times.
sans appears 1 times.
hearin appears 2 times.
lucianus appears 2 times.
polonius appears 107 times.
players--as appears 1 times.
this,-- appears 2 times.
intil appears 1 times.
diseas appears 1 times.
gone appears 3 times.
practis appears 1 times.
aside appears 1 times.
son's appears 1 times.
soles appears 1 times.
'se appears 1 times.
scholars appears 1 times.
hark appears 1 times.
fortun appears 9 times.
provided appears 1 times.
hars appears 1 times.
hart appears 1 times.
beshrew appears 1 times.
marriage-vows appears 1 times.
remed appears 1 times.
soul's appears 1 times.
cit appears 2 times.
society appears 1 times.
denmark appears 8 times.
motive appears 2 times.
anticipation appears 1 times.
thieves appears 1 times.
hard appears 4 times.
'ti appears 1 times.
puff'd appears 2 times.
lend appears 4 times.
purged appears 1 times.
to't appears 3 times.
death-be appears 1 times.
roof appears 1 times.
avoi appears 1 times.
offe appears 1 times.
'to appears 1 times.
worser appears 1 times.
offa appears 1 times.
apoplex' appears 1 times.
requite appears 2 times.
room appears 13 times.
cheer appears 3 times.
'scape appears 2 times.
better appears 11 times.
hercules appears 2 times.
ladie appears 2 times.
inces appears 1 times.
scholar' appears 1 times.
scratch'd appears 1 times.
well appears 31 times.
treacherou appears 1 times.
quicknes appears 1 times.
breadth appears 1 times.
does--what appears 1 times.
pile appears 1 times.
immortal appears 1 times.
'twere appears 8 times.
sate appears 1 times.
witching appears 1 times.
to' appears 4 times.
cornelius appears 4 times.
'choose appears 1 times.
incensed appears 1 times.
liegemen appears 1 times.
twent appears 1 times.
fearing appears 1 times.
loved appears 6 times.
reveng appears 7 times.
floo appears 1 times.
fierce appears 1 times.
struck appears 4 times.
cla appears 2 times.
hate appears 1 times.
donn'd appears 1 times.
hath appears 60 times.
'this appears 2 times.
propos appears 1 times.
order appears 2 times.
conceit appears 3 times.
droopin appears 1 times.
unwrun appears 1 times.
capabl appears 1 times.
went appears 5 times.
majestical appears 1 times.
inten appears 1 times.
distant appears 1 times.
inter appears 1 times.
felicity appears 1 times.
hast appears 18 times.
propose appears 1 times.
reformed appears 1 times.
reform appears 1 times.
remis appears 1 times.
bringing appears 1 times.
'we appears 1 times.
sister's appears 1 times.
quillet appears 1 times.
brass'd appears 1 times.
cellarage-- appears 1 times.
spots appears 1 times.
sledded appears 1 times.
conceiv appears 1 times.
homage appears 1 times.
pyrrhus' appears 3 times.
frown'd appears 1 times.
havo appears 1 times.
woman appears 2 times.
aery appears 1 times.
[within] appears 7 times.
save appears 5 times.
toe appears 1 times.
carouses appears 1 times.
matter appears 12 times.
historical-pastora appears 1 times.
toi appears 1 times.
frankly appears 2 times.
nephew's appears 2 times.
top appears 6 times.
too appears 36 times.
honesty appears 4 times.
orderly appears 1 times.
have appears 173 times.
noise appears 6 times.
quarter' appears 1 times.
toy appears 2 times.
succession appears 1 times.
haun appears 1 times.
famous appears 1 times.
question appears 10 times.
drugs appears 1 times.
saty appears 1 times.
lover appears 1 times.
self-slaughte appears 1 times.
look'd appears 3 times.
loves appears 3 times.
spirit appears 10 times.
scann' appears 1 times.
saw' appears 1 times.
littl appears 3 times.
picture appears 2 times.
walks appears 2 times.
coc appears 3 times.
son,-- appears 1 times.
gibber appears 1 times.
phras appears 5 times.
regard appears 1 times.
witch appears 1 times.
rose appears 3 times.
ancl appears 1 times.
willin appears 2 times.
coi appears 1 times.
thousand appears 10 times.
roars appears 1 times.
rat!' appears 1 times.
infect appears 1 times.
com appears 52 times.
col appears 4 times.
traduced appears 1 times.
capital appears 2 times.
chambe appears 2 times.
pleas appears 3 times.
cor appears 1 times.
arrows appears 1 times.
lets appears 3 times.
celestial appears 2 times.
upon appears 53 times.
graces appears 1 times.
solicite appears 1 times.
pray appears 26 times.
lad appears 11 times.
lac appears 1 times.
bulwark appears 1 times.
vulga appears 1 times.
ambitious appears 2 times.
month-- appears 1 times.
lai appears 1 times.
defective appears 1 times.
function appears 1 times.
lan appears 5 times.
west appears 1 times.
gertrud appears 22 times.
quite appears 3 times.
pipe appears 1 times.
know,' appears 1 times.
lat appears 4 times.
saws appears 1 times.
