country,year,co2,co2_per_capita,gdp,population,coal_co2,oil_co2,gas_co2,land_use_change_co2,cement_co2,methane,nitrous_oxide
Australia,2000,350.008,18.294,692059308032.0,19132473.0,185.797,102.65,46.61,203.508,3.621,179.324,94.066
Australia,2001,357.784,18.475,713890070528.0,19365437.0,190.082,103.174,49.326,108.423,3.541,191.321,104.127
Australia,2002,362.537,18.501,747065704448.0,19595357.0,191.147,105.452,50.589,63.36,3.488,184.513,97.64
Australia,2003,369.63,18.65,774451036160.0,19819450.0,195.386,109.666,49.912,221.52,3.584,141.664,61.223
Australia,2004,383.159,19.113,809792438272.0,20046680.0,202.225,113.748,52.83,183.475,3.555,163.285,82.689
Australia,2005,386.176,19.029,840092352512.0,20294490.0,200.715,116.504,54.458,71.948,3.664,143.842,61.756
Australia,2006,392.36,19.055,866678669312.0,20590565.0,204.401,117.364,55.777,25.306,3.888,162.956,79.65
Australia,2007,399.475,19.064,911250751488.0,20954545.0,203.559,119.32,61.006,77.958,3.972,160.142,75.418
Australia,2008,404.84,18.944,937889628160.0,21370595.0,204.688,122.931,61.744,264.197,3.863,141.992,60.694
Australia,2009,407.094,18.689,963129966592.0,21783014.0,206.066,122.373,63.087,105.896,3.829,146.943,64.827
Australia,2010,405.131,18.297,993854029824.0,22141583.0,200.552,124.551,64.246,524.261,3.549,137.338,53.678
Australia,2011,403.858,17.965,1024000327680.0,22479778.0,192.141,129.802,66.46,267.531,3.496,188.392,102.516
Australia,2012,406.197,17.775,1062662897664.0,22852649.0,189.154,133.681,67.7,157.591,3.518,189.187,103.196
Australia,2013,399.068,17.174,1086068031488.0,23236271.0,176.363,137.311,69.642,158.448,3.294,140.812,64.104
Australia,2014,392.729,16.644,1113888129024.0,23595599.0,168.146,137.536,70.591,83.054,3.138,149.044,76.115
Australia,2015,401.497,16.765,1139303383040.0,23947998.0,174.205,137.952,71.37,35.434,3.076,149.469,72.526
Australia,2016,410.388,16.868,1169967284224.0,24329961.0,179.562,137.699,73.804,89.63,2.931,128.078,59.351
Australia,2017,413.818,16.733,1197832929280.0,24731044.0,176.932,139.838,75.229,83.407,3.019,149.094,79.701
Australia,2018,415.591,16.544,1231576891392.0,25119700.0,169.401,144.034,78.346,48.49,2.942,149.063,78.319
Australia,2019,415.77,16.316,1255505526784.0,25482714.0,164.952,143.362,80.305,37.877,3.04,134.878,64.518
Australia,2020,399.184,15.506,1232259776512.0,25743787.0,156.681,135.404,83.221,85.575,2.82,118.423,52.413
Australia,2021,389.02,14.987,1296705126400.0,25956416.0,151.894,134.679,80.065,74.954,2.9,123.757,60.32
Australia,2022,384.362,14.67,1344251494400.0,26200987.0,146.069,133.807,80.412,69.788,2.818,126.538,62.494
Australia,2023,382.972,14.478,1344251494400.0,26451125.0,142.666,141.596,74.636,70.094,2.818,113.681,52.859
Brazil,2000,340.183,1.955,1739727962112.0,174018276.0,50.46,239.488,18.442,1853.493,16.047,451.66,123.531
Brazil,2001,346.166,1.963,1785513115648.0,176301200.0,49.427,241.795,23.186,1748.738,15.227,464.504,127.461
Brazil,2002,347.765,1.948,1861742362624.0,178503483.0,48.689,239.219,29.293,1894.475,14.39,486.977,132.59
Brazil,2003,344.645,1.908,1904932683776.0,180622688.0,51.933,232.434,30.919,2805.237,13.096,509.06,137.639
Brazil,2004,361.434,1.979,2038447996928.0,182675143.0,53.833,239.768,38.215,2199.537,13.273,533.211,146.153
Brazil,2005,364.371,1.973,2129214439424.0,184688101.0,50.948,240.221,39.619,1915.187,14.349,536.834,146.123
Brazil,2006,368.871,1.976,2240805339136.0,186653099.0,50.838,242.249,42.053,1722.686,15.44,533.372,143.157
Brazil,2007,390.573,2.071,2405626806272.0,188552310.0,54.989,256.003,43.246,1515.936,17.2,532.185,156.032
Brazil,2008,412.638,2.168,2559842713600.0,190367297.0,55.315,267.239,51.303,1346.411,18.884,530.54,149.057
Brazil,2009,389.775,2.029,2589568270336.0,192079956.0,43.586,262.705,40.959,1130.222,19.031,529.17,144.564
Brazil,2010,440.269,2.273,2820492492800.0,193701931.0,56.688,286.08,55.049,1002.99,21.288,552.001,162.681
Brazil,2011,462.58,2.369,2968454955008.0,195284736.0,62.292,303.885,53.101,1000.087,22.845,550.328,160.297
Brazil,2012,498.309,2.531,3025484382208.0,196876114.0,61.016,327.734,63.397,1149.652,24.998,552.967,161.812
Brazil,2013,532.418,2.682,3116394610688.0,198478291.0,65.604,342.338,74.704,1212.565,26.652,553.942,161.388
Brazil,2014,557.901,2.788,3132099919872.0,200085126.0,69.034,356.753,81.286,1231.391,26.908,561.272,168.098
Brazil,2015,529.353,2.625,3021043138560.0,201675534.0,69.452,330.359,80.465,1248.695,25.082,570.865,165.859
Brazil,2016,492.748,2.425,2922076176384.0,203218108.0,63.831,312.939,69.666,1149.545,22.415,574.77,164.895
Brazil,2017,498.266,2.434,2960731668480.0,204703440.0,67.322,316.143,70.688,1023.874,20.217,574.937,173.576
Brazil,2018,478.379,2.321,3013541101568.0,206107265.0,65.841,300.73,67.417,1059.375,20.494,574.184,168.09
Brazil,2019,473.39,2.282,3050327244800.0,207455459.0,61.888,299.436,67.121,1119.91,21.048,581.54,175.391
Brazil,2020,445.208,2.134,2950377504768.0,208660845.0,56.241,282.678,59.026,1239.238,23.366,589.146,184.046
Brazil,2021,498.017,2.377,3097565331456.0,209550291.0,68.23,305.428,75.974,1481.575,24.488,600.632,190.274
Brazil,2022,483.841,2.301,3187413090304.0,210306411.0,56.078,319.935,60.085,1327.711,23.845,601.386,193.478
Brazil,2023,486.47,2.304,3264251494400.0,211140731.0,54.848,326.432,56.329,1302.346,24.963,611.426,201.954
Canada,2000,566.261,18.33,1137681367040.0,30891800.0,128.952,237.231,173.423,221.185,7.232,120.093,39.309
Canada,2001,558.36,17.888,1161459924992.0,31213577.0,126.48,241.069,165.5,262.882,6.983,120.26,38.285
Canada,2002,563.729,17.876,1199865593856.0,31535580.0,123.972,242.086,171.755,214.5,7.148,122.747,39.013
Canada,2003,580.792,18.243,1224575811584.0,31836484.0,123.102,257.945,174.245,214.011,7.248,121.623,39.706
Canada,2004,579.163,18.024,1265917231104.0,32132680.0,115.514,266.975,170.262,232.531,7.52,125.217,39.091
Canada,2005,572.855,17.659,1310077878272.0,32440173.0,116.624,260.961,169.2,230.584,7.614,123.625,40.043
Canada,2006,568.173,17.344,1348293361664.0,32759174.0,114.03,259.202,168.452,197.441,7.728,127.164,37.433
Canada,2007,591.889,17.886,1379925884928.0,33092172.0,118.821,265.861,180.77,177.619,7.731,125.632,41.038
Canada,2008,575.77,17.213,1397938716672.0,33449089.0,112.68,257.097,181.2,137.416,6.988,122.593,39.778
Canada,2009,542.811,16.047,1360538107904.0,33826369.0,93.362,253.423,174.223,110.915,5.364,116.307,38.135
Canada,2010,554.734,16.222,1406355374080.0,34196901.0,95.844,257.905,178.268,85.622,6.005,117.227,39.16
Canada,2011,563.32,16.302,1454221426688.0,34555450.0,86.835,259.433,193.976,137.445,6.02,118.035,41.458
Canada,2012,564.221,16.156,1479829618688.0,34922512.0,81.544,260.897,197.213,109.047,6.532,121.051,43.25
Canada,2013,568.854,16.118,1514296442880.0,35293420.0,79.249,260.549,204.25,120.787,5.973,121.8,43.03
Canada,2014,566.469,15.897,1557757558784.0,35634265.0,76.962,253.107,211.465,164.189,5.912,127.018,42.418
Canada,2015,565.644,15.729,1568025739264.0,35962236.0,73.719,254.034,213.612,142.859,6.185,125.83,42.385
Canada,2016,558.872,15.373,1583728033792.0,36353345.0,74.001,252.214,210.439,133.098,6.114,120.974,41.424
Canada,2017,569.603,15.475,1631871434752.0,36808500.0,73.401,255.803,216.781,143.742,6.863,123.052,42.195
Canada,2018,579.079,15.527,1677189185536.0,37294997.0,61.32,261.649,231.731,101.589,6.99,124.514,43.998
Canada,2019,582.025,15.404,1708858146816.0,37782931.0,58.777,263.306,234.935,99.272,7.195,124.018,42.608
Canada,2020,526.582,13.795,1622144450560.0,38171901.0,48.575,228.175,224.905,89.206,6.713,109.583,44.565
Canada,2021,540.312,14.051,1703443300352.0,38454058.0,45.795,237.083,230.942,85.726,7.379,113.759,43.4
Canada,2022,550.612,14.183,1761295597568.0,38821260.0,38.198,246.265,239.741,107.143,6.752,115.991,45.077
Canada,2023,549.299,13.977,1841152000000.0,39299099.0,36.769,248.853,237.269,104.724,6.752,109.381,44.815
China,2000,3649.227,2.874,5952682590208.0,1269581164.0,2601.762,648.686,59.796,610.168,244.388,1108.096,367.944
China,2001,3728.51,2.916,6329737412608.0,1278725057.0,2637.651,659.3,67.157,492.668,270.828,1118.592,366.843
China,2002,4103.046,3.188,6814493573120.0,1286866839.0,3018.637,653.086,53.993,385.644,282.688,1127.3,384.379
China,2003,4841.119,3.74,7248623435776.0,1294517315.0,3601.712,727.099,60.745,351.397,353.679,1186.953,390.81
China,2004,5217.351,4.007,7830953263104.0,1302100319.0,3835.288,839.093,71.521,362.403,368.396,1268.221,408.476
China,2005,5882.106,4.49,8602939555840.0,1310027138.0,4424.353,850.173,84.957,325.656,411.649,1339.097,423.778
China,2006,6494.331,4.927,9489543593984.0,1318054037.0,4905.367,898.534,103.753,329.761,470.087,1396.412,436.559
China,2007,6983.547,5.267,10358205972480.0,1325813580.0,5289.875,927.351,129.515,311.211,514.981,1424.359,445.352
China,2008,7501.498,5.624,10799147909120.0,1333821009.0,5729.473,970.118,149.674,313.299,525.924,1437.849,450.842
China,2009,7891.078,5.878,11572544012288.0,1342522709.0,6028.489,982.348,164.404,320.857,583.56,1465.252,430.502
China,2010,8620.576,6.378,12858808074240.0,1351561511.0,6568.743,1092.571,199.585,-41.239,639.592,1524.504,434.698
China,2011,9532.332,7.008,13691527364608.0,1360250657.0,7309.709,1123.859,245.99,17.009,708.564,1626.133,441.33
China,2012,9779.292,7.141,14773157625856.0,1369520865.0,7464.744,1176.712,277.599,16.146,714.782,1625.214,448.538
China,2013,9956.329,7.22,15925464006656.0,1379008046.0,7493.408,1234.621,320.127,17.266,748.323,1651.454,451.293
China,2014,9990.257,7.198,17103948087296.0,1387951973.0,7424.993,1255.605,370.222,-130.691,770.284,1670.111,454.229
China,2015,9863.457,7.065,18301224747008.0,1396134164.0,7266.92,1328.805,380.052,-34.488,718.559,1671.582,457.125
China,2016,9762.714,6.953,19545710395392.0,1404052626.0,7071.355,1357.838,421.726,-143.776,740.776,1621.114,456.86
China,2017,10006.343,7.085,20894363680768.0,1412354742.0,7163.255,1430.587,486.359,-179.566,753.439,1639.649,453.819
China,2018,10332.992,7.282,22294286041088.0,1419008963.0,7316.367,1500.474,575.369,-176.319,765.836,1677.521,449.692
China,2019,10713.984,7.526,23631939764224.0,1423520354.0,7523.024,1559.728,630.171,-225.761,819.965,1699.523,418.188
China,2020,10905.693,7.647,24151844716544.0,1426106083.0,7679.484,1523.052,676.473,-252.038,849.976,1732.467,418.821
China,2021,11447.913,8.026,26180600201216.0,1426437276.0,8141.342,1521.11,765.333,-278.678,843.777,1778.4,425.25
China,2022,11350.538,7.964,26966017179648.0,1425179562.0,8168.899,1489.342,760.059,-286.079,756.02,1864.384,420.098
China,2023,11902.503,8.367,2882304000000.0,1422584937.0,8550.844,1642.827,814.783,-296.574,718.017,1886.24,410.853
Germany,2000,898.976,10.99,2718560681984.0,81797255.0,373.461,330.774,166.421,-18.189,15.253,105.166,44.866
Germany,2001,915.255,11.171,2793372909568.0,81933883.0,376.52,338.871,173.799,-19.448,13.504,100.988,43.606
Germany,2002,898.834,10.952,2822441533440.0,82068328.0,375.786,324.413,173.61,-14.665,12.823,98.229,43.042
Germany,2003,894.501,10.894,2831676080128.0,82111619.0,378.305,313.847,176.587,-12.17,13.507,95.747,42.559
Germany,2004,876.57,10.678,2894624980992.0,82092706.0,374.908,301.208,174.327,-12.196,14.068,92.884,42.538
Germany,2005,867.881,10.578,2945460994048.0,82046731.0,361.975,305.188,175.904,-14.717,13.05,90.885,42.141
Germany,2006,886.434,10.85,3086359199744.0,81701971.0,367.653,313.191,180.197,-12.848,13.34,87.773,41.164
Germany,2007,846.116,10.408,3220275724288.0,81298546.0,376.715,268.924,173.851,-11.846,14.449,86.156,41.613
Germany,2008,856.607,10.561,3289020366848.0,81110781.0,353.581,296.43,180.995,-12.163,13.579,84.776,40.202
Germany,2009,789.951,9.76,3136502104064.0,80935275.0,316.28,282.438,168.399,-15.443,12.559,81.328,39.729
Germany,2010,826.68,10.227,3301123031040.0,80830917.0,341.311,277.154,184.875,-11.451,12.431,80.546,39.987
Germany,2011,804.514,9.95,3467712921600.0,80857877.0,339.624,270.809,169.399,-13.268,13.393,79.0,38.885
Germany,2012,814.09,10.061,3482225475584.0,80916393.0,350.039,271.945,167.837,-8.495,13.289,78.457,39.15
Germany,2013,831.743,10.263,3497463119872.0,81041580.0,357.254,280.396,170.267,-7.06,12.503,77.654,39.856
Germany,2014,792.579,9.74,3574741336064.0,81376078.0,344.722,271.602,151.986,-4.902,12.905,76.622,40.656
Germany,2015,800.844,9.757,3628073746432.0,82077546.0,341.117,278.861,157.11,-5.974,12.626,75.533,39.768
Germany,2016,798.014,9.642,3708980035584.0,82760100.0,329.436,275.703,169.169,-3.641,12.663,73.409,39.219
Germany,2017,784.594,9.441,3808389496832.0,83104012.0,312.692,275.505,172.045,-4.568,13.408,72.975,37.98
Germany,2018,760.046,9.117,3845758648320.0,83368506.0,296.871,269.351,169.76,-8.286,13.228,70.091,36.811
Germany,2019,709.827,8.495,3886392803328.0,83559185.0,240.114,273.111,172.762,-8.881,13.287,67.37,36.881
Germany,2020,648.357,7.753,3742720851968.0,83628711.0,198.53,255.645,170.963,-7.927,13.357,65.473,35.781
Germany,2021,678.777,8.11,3841041629184.0,83697082.0,232.149,241.585,181.116,-8.547,13.64,64.893,34.883
Germany,2022,671.472,7.986,3909612732416.0,84086228.0,240.64,247.44,160.776,-8.638,12.538,63.261,33.978
Germany,2023,596.151,7.051,3960000000000.0,84548234.0,188.477,231.622,155.461,-8.65,10.604,61.377,33.367
India,2000,986.445,0.932,2804478640128.0,1057922728.0,572.876,312.847,52.791,191.882,45.957,751.86,182.498
India,2001,1000.527,0.928,2940745547776.0,1077898572.0,582.081,316.721,53.128,142.343,46.74,757.557,185.242
India,2002,1032.14,0.94,3024984473600.0,1097600381.0,598.597,325.22,57.609,85.816,49.111,753.157,178.845
India,2003,1067.737,0.956,3251114344448.0,1116802997.0,625.89,330.615,58.565,107.721,50.88,766.618,184.999
India,2004,1133.828,0.998,3495022821376.0,1135991510.0,669.968,348.234,58.316,70.471,55.545,778.156,191.667
India,2005,1194.592,1.035,3752627535872.0,1154676319.0,721.469,352.376,59.357,43.624,59.687,796.301,199.959
India,2006,1292.485,1.102,4069856116736.0,1172878890.0,773.564,369.694,82.58,38.273,64.905,808.801,209.289
India,2007,1392.506,1.17,4403214942208.0,1190676028.0,842.477,391.897,87.956,91.74,68.333,826.853,219.158
India,2008,1489.437,1.233,4649547988992.0,1207930962.0,910.795,413.233,90.277,149.639,73.245,842.577,223.8
India,2009,1612.216,1.316,4993478819840.0,1225524760.0,983.947,432.66,112.463,82.581,81.268,846.518,229.679
India,2010,1677.337,1.349,5361371185152.0,1243481564.0,1015.983,439.5,134.121,116.953,86.029,856.15,236.617
India,2011,1764.712,1.399,5720693014528.0,1261224952.0,1074.385,460.104,136.26,98.028,91.314,867.948,244.344
India,2012,1925.7,1.506,6052427857920.0,1278674506.0,1206.452,489.814,125.605,159.491,100.237,870.109,244.454
India,2013,1995.098,1.54,6424470487040.0,1295829506.0,1276.383,496.94,110.689,218.269,107.82,844.152,244.683
India,2014,2148.344,1.637,6875186200576.0,1312277184.0,1407.057,512.465,109.467,93.789,115.825,852.537,248.335
India,2015,2234.219,1.682,7391521275904.0,1328024492.0,1449.587,556.117,106.871,133.373,117.508,860.389,251.789
India,2016,2354.658,1.752,8057466126336.0,1343944293.0,1499.401,614.597,113.622,121.941,123.281,867.525,251.169
India,2017,2426.607,1.785,8550029459456.0,1359657392.0,1551.256,632.558,118.922,78.562,121.047,876.481,257.0
India,2018,2593.058,1.886,9173200797696.0,1374659068.0,1668.318,657.084,126.201,104.242,138.965,891.333,264.434
India,2019,2612.888,1.881,9595463401472.0,1389030303.0,1661.94,676.154,128.676,52.65,143.664,891.979,271.832
India,2020,2421.552,1.726,8945313775616.0,1402617692.0,1561.799,606.045,127.994,38.998,122.908,898.078,279.078
India,2021,2674.222,1.891,9801620783104.0,1414203889.0,1767.297,621.928,133.192,12.822,149.033,919.331,277.707
India,2022,2831.166,1.986,10476248367104.0,1425423212.0,1855.854,684.057,124.009,-8.156,164.323,933.884,283.756
India,2023,3062.324,2.129,10920000000000.0,1438069597.0,2032.012,717.799,132.42,-24.334,177.226,940.655,288.717
Japan,2000,1263.993,9.951,4209652006912.0,127027796.0,372.971,677.303,168.728,6.705,35.086,44.778,27.539
Japan,2001,1249.393,9.818,4224163250176.0,127260144.0,382.016,655.581,167.865,-5.943,34.374,43.23,26.622
Japan,2002,1278.995,10.033,4226576285696.0,127484599.0,399.142,666.48,171.773,-11.873,32.417,42.203,26.343
Japan,2003,1287.495,10.084,4288493387776.0,127671255.0,412.504,656.529,177.168,-13.452,31.935,41.371,26.376
Japan,2004,1282.895,10.037,4380398190592.0,127815770.0,420.467,645.38,176.08,-17.559,31.276,41.031,26.192
Japan,2005,1290.296,10.087,4450600615936.0,127913331.0,430.874,642.359,174.702,-14.829,32.28,40.462,25.151
Japan,2006,1267.295,9.901,4514225061888.0,127997248.0,427.99,605.588,191.339,-6.755,31.991,40.105,24.587
Japan,2007,1302.996,10.173,4590814101504.0,128087684.0,445.459,608.164,207.774,-12.583,30.658,40.18,24.568
Japan,2008,1232.196,9.615,4542408163328.0,128155991.0,426.743,563.407,203.313,-9.902,28.553,38.769,22.888
Japan,2009,1163.393,9.075,4298103324672.0,128192471.0,411.9,516.483,201.07,-13.042,25.308,37.415,21.378
Japan,2010,1214.798,9.477,4480295763968.0,128185273.0,446.507,522.307,212.062,-12.946,24.321,37.588,22.085
Japan,2011,1264.797,9.874,4468738359296.0,128096431.0,430.97,552.861,246.731,-10.531,24.983,36.474,21.289
Japan,2012,1305.998,10.209,4530172329984.0,127928283.0,450.458,564.639,255.914,-8.698,25.625,35.573,21.362
Japan,2013,1315.298,10.298,4621006798848.0,127723641.0,481.655,541.959,255.328,-7.069,26.805,35.429,21.551
Japan,2014,1263.806,9.913,4634693337088.0,127486600.0,473.225,497.145,257.329,-4.952,26.557,34.227,21.104
Japan,2015,1223.199,9.611,4707025158144.0,127275868.0,466.243,476.886,245.234,-4.236,25.936,33.483,20.743
Japan,2016,1203.184,9.462,4742508969984.0,127159949.0,457.145,460.518,250.763,-5.933,25.969,32.914,20.249
Japan,2017,1187.484,9.346,4821960097792.0,127064685.0,459.108,448.259,244.803,-4.065,26.429,32.85,20.301
Japan,2018,1142.481,9.002,4852985364480.0,126913433.0,442.511,431.787,233.268,-0.549,26.183,32.156,19.817
Japan,2019,1105.478,8.725,4833468219392.0,126699422.0,432.809,415.812,223.405,-1.399,25.328,31.572,19.628
Japan,2020,1040.483,8.238,4626661244928.0,126304536.0,399.497,387.124,221.932,1.124,24.49,31.029,19.177
Japan,2021,1061.905,8.449,4725883797504.0,125679341.0,427.989,390.515,211.002,2.525,24.396,30.82,19.589
Japan,2022,1032.687,8.262,4774494732288.0,124997586.0,417.193,384.784,199.73,1.945,23.157,30.554,19.734
Japan,2023,988.785,7.95,10920000000000.0,124370947.0,393.898,377.727,188.445,3.024,20.71,30.039,19.528
Russia,2000,1479.142,10.082,1547057496064.0,146717784.0,427.01,317.516,681.631,-6.453,15.113,368.456,67.902
